SN	DISTRICT	DIVISION	WARD	VILLAGE	MITAA	Fname	FTYPE	OWNER	PLACE	OWNER2
2666	Ludewa DC	Mlangali	Lupanga	Lusala		Lusala	Dispensary	LGA	Rural	Public
2667	Ludewa DC	Mlangali	Lupanga	Utilili		Utilili	Dispensary	LGA	Rural	Public
2668	Ludewa DC	Mlangali	Madope	Luvuyo		Luvuyo	Dispensary	LGA	Rural	Public
2669	Ludewa DC	Mlangali	Madope	Madope		Madope	Dispensary	LGA	Rural	Public
2671	Ludewa DC	Mlangali	Milo	Mapogoro		Mapogoro	Dispensary	LGA	Rural	Public
2672	Ludewa DC	Mlangali	Milo	Mavala		Mavala	Dispensary	LGA	Rural	Public
2673	Ludewa DC	Mlangali	Milo	Milo		Milo	Hospital	Roman Catholic	Rural	Faith-Based
2674	Ludewa DC	Mlangali	Mlangali	Itundu		Mlangali	Health Centre	LGA	Rural	Public
2675	Ludewa DC	Mlangali	Mlangali	Kiyombo		Kiyombo	Dispensary	LGA	Rural	Public
2676	Ludewa DC	Mlangali	Mlangali	Ligumbilo		Ligumbilo	Dispensary	LGA	Rural	Public
2677	Ludewa DC	Mlangali	Mlangali	Lufumbu		Lufumbu	Dispensary	LGA	Rural	Public
2678	Ludewa DC	Mlangali	Mlangali	Masimbwe		Masimbwe	Dispensary	LGA	Rural	Public
2680	Kilolo DC	Kilolo	Boma La Ngombe	Boma La Ngombe		Boma la Ngombe	Dispensary	LGA	Rural	Public
2681	Kilolo DC	Kilolo	Boma La Ngombe	Idegenda		Idegenda	Dispensary	LGA	Rural	Public
2682	Kilolo DC	Kilolo	Boma La Ngombe	Masisiswe		Masisiswe	Dispensary	LGA	Rural	Public
2684	Kilolo DC	Kilolo	Boma La Ngombe	Mwatasi		Mwatasi	Dispensary	LGA	Rural	Public
2685	Kilolo DC	Kilolo	Boma La Ngombe	Ngingula		Ngingula	Dispensary	Lutheran	Rural	Faith-Based
2689	Kilolo DC	Kilolo	Idete	Idete		Idete	Dispensary	Lutheran	Rural	Faith-Based
2690	Kilolo DC	Kilolo	Idete	Idunda		Idunda	Dispensary	Lutheran	Rural	Faith-Based
2692	Kilolo DC	Kilolo	Idete	Itonya		Itonya	Dispensary	LGA	Rural	Public
2693	Kilolo DC	Kilolo	Idete	Kimala		Kimala	Dispensary	LGA	Rural	Public
2694	Kilolo DC	Kilolo	Idete	Kiwalamo		Kiwalamo	Dispensary	TASAF	Rural	Public
2695	Kilolo DC	Kilolo	Idete	Madege		Madege	Dispensary	Roman Catholic	Rural	Faith-Based
2698	Kilolo DC	Kilolo	Ukumbi	Kihesa Mgagao		Kihesa Mgagao	Dispensary	TASAF	Rural	Public
2700	Kilolo DC	Kilolo	Ukumbi	Lukani		Ngongwa	Dispensary	LGA	Rural	Public
2701	Kilolo DC	Kilolo	Ukumbi	Mawambala		Mawambala	Dispensary	Roman Catholic	Rural	Faith-Based
2702	Kilolo DC	Kilolo	Ukumbi	Nguruhe		Pomerin	Dispensary	Lutheran	Rural	Faith-Based
2703	Kilolo DC	Kilolo	Ukumbi	Ukumbi		Ukumbi	Dispensary	LGA	Rural	Public
2705	Kilolo DC	Kilolo	Ukwega	Ipalamwa		Ipalamwa	Dispensary	Lutheran	Rural	Faith-Based
2707	Kilolo DC	Kilolo	Ukwega	Kisinga		Kisinga	Dispensary	LGA	Rural	Public
2710	Kilolo DC	Kilolo	Ukwega	Ukwega		Ukwega	Dispensary	LGA	Rural	Public
2712	Kilolo DC	Mahenge	Dabaga	Kidabaga		Kidabaga	Health Centre	LGA	Rural	Public
2714	Kilolo DC	Mahenge	Dabaga	Magome		Magome	Dispensary	TASAF	Rural	Public
2715	Kilolo DC	Mahenge	Dabaga	Ngangange		Ngangange	Dispensary	LGA	Rural	Public
2717	Kilolo DC	Mahenge	Mahenge	Ikula		Ikula	Dispensary	TASAF	Rural	Public
2719	Kilolo DC	Mahenge	Mahenge	Mahenge		Mahenge	Dispensary	LGA	Rural	Public
2721	Kilolo DC	Mahenge	Mahenge	Msosa		Msosa	Dispensary	Private	Rural	Private
2722	Kilolo DC	Mahenge	Mahenge	Mtandika		Mtandika	Health Centre	Roman Catholic	Rural	Faith-Based
2723	Kilolo DC	Mahenge	Mahenge	Nyanzwa		Nyanzwa	Dispensary	LGA	Rural	Public
2724	Kilolo DC	Mahenge	Mahenge	Ruaha Mbuyuni		Ruaha Mbuyuni	Dispensary	Lutheran	Rural	Faith-Based
2725	Kilolo DC	Mahenge	Mahenge	Ruaha Mbuyuni		Al-Sheikh	Dispensary	BAKWATA	Rural	Private
2726	Kilolo DC	Mahenge	Mtitu	Ihimbo		Ihimbo	Dispensary	Lutheran	Rural	Faith-Based
2727	Kilolo DC	Mahenge	Mtitu	Itimbo		Itimbo	Dispensary	TASAF	Rural	Public
2728	Kilolo DC	Mahenge	Mtitu	Kilolo		Kilolo	Dispensary	LGA	Rural	Public
2729	Kilolo DC	Mahenge	Mtitu	Kilolo		Kilolo	Dispensary	Roman Catholic	Rural	Faith-Based
2731	Kilolo DC	Mahenge	Mtitu	Mtitu		Mtitu	Dispensary	TASAF	Rural	Public
2735	Kilolo DC	Mahenge	Udekwa	Ifuwa		Ifuwa	Dispensary		Rural	TBD
2736	Kilolo DC	Mahenge	Udekwa	Udekwa		Udekwa	Dispensary	TASAF	Rural	Public
2737	Kilolo DC	Mazombe	Ilula	Ikokoto		Ikokoto	Dispensary	TASAF	Rural	Public
2739	Kilolo DC	Mazombe	Ilula	Isagwa		Isagwa	Dispensary	TASAF	Rural	Public
2740	Kilolo DC	Mazombe	Ilula	Itungi		Itungi	Dispensary	LGA	Rural	Public
2742	Kilolo DC	Mazombe	Ilula	Ilula Sokoni		Gs	Dispensary	Private	Rural	Private
2743	Kilolo DC	Mazombe	Ilula	Ilula Itunda		Ilula Itunda	Hospital	Lutheran	Rural	Faith-Based
2745	Kilolo DC	Mazombe	Ilula	Ilula Mwaya		Ilula Mwaya	Dispensary	Roman Catholic	Rural	Faith-Based
2746	Kilolo DC	Mazombe	Image	Ibumu		Ibumu	Dispensary	TASAF	Rural	Public
2747	Kilolo DC	Mazombe	Image	Ilambo		Ilambo	Dispensary	LGA	Rural	Public
2748	Kilolo DC	Mazombe	Image	Image Namba 8		Image No 8	Dispensary	Lutheran	Rural	Faith-Based
2750	Kilolo DC	Mazombe	Image	Lyasa		Lyasa Image	Dispensary	LGA	Rural	Public
2753	Kilolo DC	Mazombe	Irole	Irole		Irole	Dispensary	Roman Catholic	Rural	Faith-Based
2757	Kilolo DC	Mazombe	Irole	Lundamatwe		Lundamatwe	Dispensary	LGA	Rural	Public
2759	Kilolo DC	Mazombe	Irole	Mazombe		Mazombe	Dispensary	LGA	Rural	Public
2760	Kilolo DC	Mazombe	Irole	Mbigili		Dhinureyn	Dispensary	BAKWATA	Rural	Private
2764	Kilolo DC	Mazombe	Uhambingeto	Uhambingeto		Uhambingeto	Dispensary	Anglican	Rural	Faith-Based
2766	Njombe DC	Imalinyi	Igosi	Igosi		Igosi	Dispensary	LGA	Rural	Public
2768	Njombe DC	Imalinyi	Igosi	Kipengere		Kipengere	Dispensary	Roman Catholic	Rural	Faith-Based
2770	Njombe DC	Imalinyi	Igosi	Makoga		Makoga	Health Centre	LGA	Rural	Public
2772	Njombe DC	Imalinyi	Igosi	Moronga		Moronga	Dispensary	LGA	Rural	Public
2774	Njombe DC	Imalinyi	Igosi	Nganda		Nganda	Dispensary	LGA	Rural	Public
2775	Njombe DC	Imalinyi	Igosi	Samaria		Samaria	Dispensary	LGA	Rural	Public
2776	Njombe DC	Imalinyi	Igosi	Uhekule		Uhekule	Dispensary	LGA	Rural	Public
2777	Njombe DC	Imalinyi	Igosi	Utelewe		Utelewe	Dispensary	LGA	Rural	Public
2779	Njombe DC	Imalinyi	Imalinyi	Igodivaha		Igodivaha	Dispensary	LGA	Rural	Public
2781	Njombe DC	Imalinyi	Imalinyi	Imalinyi		Imalinyi	Dispensary	LGA	Rural	Public
2782	Njombe DC	Imalinyi	Imalinyi	Kidugala		Kidugala	Health Centre	Lutheran	Rural	Faith-Based
2783	Njombe DC	Imalinyi	Imalinyi	Masage		Masage	Dispensary	TASAF	Rural	Public
2787	Njombe DC	Imalinyi	Imalinyi	Ulembwe		Ulembwe	Dispensary	LGA	Rural	Public
2788	Njombe DC	Imalinyi	Imalinyi	Usalule		Usalule	Dispensary	LGA	Rural	Public
2789	Njombe DC	Imalinyi	Imalinyi	Ujindile		Ujindile	Dispensary	LGA	Rural	Public
2790	Njombe DC	Imalinyi	Wangama	Imalilo		Imalilo	Dispensary	LGA	Rural	Public
2791	Njombe DC	Imalinyi	Wangama	Wangama		Wangama	Dispensary	LGA	Rural	Public
2792	Njombe DC	Lupembe	Idamba	Ikangasi		Ikangasi	Dispensary	LGA	Rural	Public
2793	Njombe DC	Lupembe	Idamba	Itambo		Itambo	Dispensary	LGA	Rural	Public
2794	Njombe DC	Lupembe	Idamba	Iwafi		Iwafi	Dispensary	LGA	Rural	Public
2795	Njombe DC	Lupembe	Idamba	Lwanzali		Lwanzali	Dispensary	LGA	Rural	Public
2796	Njombe DC	Lupembe	Idamba	Madeke		Madeke	Dispensary	LGA	Rural	Public
2797	Njombe DC	Lupembe	Idamba	Mfriga		Mfriga	Dispensary	LGA	Rural	Public
2798	Njombe DC	Lupembe	Ikondo	Ikondo		Ikondo	Dispensary	LGA	Rural	Public
2800	Njombe DC	Lupembe	Ikondo	Ukalawa		Ukalawa	Dispensary	Lutheran	Rural	Faith-Based
2802	Njombe DC	Lupembe	Kidegembye	Image		Image	Dispensary	LGA	Rural	Public
2803	Njombe DC	Lupembe	Kidegembye	Kidegembye		Kidegembye	Dispensary	LGA	Rural	Public
2804	Njombe DC	Lupembe	Kidegembye	Kidegembye		Msima Sayuni	Dispensary	Anglican	Rural	Faith-Based
2805	Njombe DC	Lupembe	Lupembe	Igombola		Igombola	Dispensary	Parastatal	Rural	Public
2807	Njombe DC	Lupembe	Lupembe	Isoliwaya		Isoliwaya	Dispensary	LGA	Rural	Public
2808	Njombe DC	Lupembe	Lupembe	Kanikelele		Kanikelele	Dispensary	LGA	Rural	Public
2809	Njombe DC	Lupembe	Lupembe	Lupembe		Lupembe	Health Centre	LGA	Rural	Public
2810	Njombe DC	Lupembe	Lupembe	Matembwe		Matembwe	Dispensary	Roman Catholic	Rural	Faith-Based
2813	Njombe DC	Makambako	Igongolo	Ibumila		Ibumila	Dispensary	LGA	Rural	Public
2814	Njombe DC	Makambako	Igongolo	Igongolo		Igongolo	Dispensary	Lutheran	Rural	Faith-Based
2816	Njombe DC	Makambako	Igongolo	Kichiwa		Kichiwa	Dispensary	LGA	Rural	Public
2820	Njombe DC	Makambako	Ikuna	Ikuna		Ikuna	Dispensary	Lutheran	Rural	Faith-Based
2825	Njombe DC	Makambako	Ikuna	Ninga		Ninga	Dispensary	LGA	Rural	Public
2826	Njombe DC	Makambako	Ikuna	Nyombo		Nyombo	Dispensary	LGA	Rural	Public
2828	Njombe DC	Makambako	Mahongole	Kifumbe		Kifumbe	Dispensary	LGA	Rural	Public
2829	Njombe DC	Makambako	Mahongole	Kitandililo		Kitandililo	Dispensary	Lutheran	Rural	Faith-Based
2831	Njombe DC	Makambako	Mahongole	Manga		Manga	Dispensary	LGA	Rural	Public
2835	Njombe DC	Makambako	Makambako	Idofi		Idofi	Dispensary	TPDF	Rural	Public
2842	Njombe DC	Makambako	Makambako	Ubena		Medicare	Dispensary	Private	Rural	Private
2843	Njombe DC	Makambako	Makambako	Ubena		Hekima	Dispensary	Private	Rural	Private
2844	Njombe DC	Makambako	Makambako	Makambako		Makambako	Health Centre	LGA	Rural	Public
2845	Njombe DC	Makambako	Makambako	Mjimwema		Nazareti	Dispensary	Private	Rural	Private
2846	Njombe DC	Makambako	Makambako	Mjimwema		Mjimwema	Dispensary	Roman Catholic	Rural	Faith-Based
2849	Njombe DC	Makambako	Makambako	Mwembetogwa		Marie Stopes	Hospital	Private	Rural	Private
2853	Njombe DC	Makambako	Mtwango	Lunguya		Mtwango	Dispensary	LGA	Rural	Public
2854	Njombe DC	Makambako	Mtwango	Mawande		Mawande	Dispensary	Lutheran	Rural	Faith-Based
2856	Njombe DC	Makambako	Mtwango	Siloamu		Siloamu	Dispensary	Roman Catholic	Rural	Faith-Based
2865	Njombe DC	Makambako	Saja	Saja		Saja	Dispensary	LGA	Rural	Public
2870	Njombe DC	Mdandu	Luduga	Luduga		Luduga	Dispensary	LGA	Rural	Public
2871	Njombe DC	Mdandu	Luduga	Malangali		Malangali	Dispensary	LGA	Rural	Public
2875	Njombe DC	Mdandu	Mdandu	Igima		Igima	Dispensary	LGA	Rural	Public
2876	Njombe DC	Mdandu	Mdandu	Ihanja		Ihanja	Dispensary	LGA	Rural	Public
2879	Njombe DC	Mdandu	Mdandu	Itowo		Itowo	Dispensary	LGA	Rural	Public
2880	Njombe DC	Mdandu	Mdandu	Itulahumba		Itulahumba	Dispensary	LGA	Rural	Public
2882	Njombe DC	Mdandu	Mdandu	Lusisi		Lusisi	Dispensary	LGA	Rural	Public
2883	Njombe DC	Mdandu	Mdandu	Mdandu		Mdandu	Dispensary	LGA	Rural	Public
2884	Njombe DC	Mdandu	Mdandu	Mhaji		Mhaji	Dispensary	LGA	Rural	Public
2887	Njombe DC	Mdandu	Mdandu	Nyumbanitu		Nyumbanitu	Dispensary	LGA	Rural	Public
2888	Njombe DC	Mdandu	Mdandu	Palangawanu		Palangawanu	Dispensary	LGA	Rural	Public
2890	Njombe DC	Mdandu	Usuka	Chalowe		Chalowe	Dispensary	LGA	Rural	Public
2891	Njombe DC	Mdandu	Usuka	Dulamu		Dulamu	Dispensary	LGA	Rural	Public
2892	Njombe DC	Mdandu	Usuka	Igwachanya		Igwachanya	Dispensary		Rural	TBD
2897	Njombe DC	Mdandu	Usuka	Usuka		Usuka	Dispensary	Lutheran	Rural	Faith-Based
2902	Njombe DC	Wangingombe	Ilembula	Ilembula		Ilembula	Hospital	Lutheran	Rural	Faith-Based
2909	Njombe DC	Wangingombe	Ilembula	Udonja		Udonja	Dispensary	TASAF	Rural	Public
2913	Njombe DC	Wangingombe	Wangingombe	Uhambule		Uhambule	Dispensary	LGA	Rural	Public
2917	Njombe DC	Wangingombe	Wangingombe	Kijombe		Kijombe	Dispensary	LGA	Rural	Public
2925	Njombe DC	Wangingombe	Wangingombe	Wangingombe		Wangingombe	Health Centre	LGA	Rural	Public
2926	Njombe TC	Igominyi	Iwungilo	Igoma		Igoma	Dispensary	LGA	Urban	Public
2927	Njombe TC	Igominyi	Iwungilo	Iwungilo		Iwungilo	Dispensary	LGA	Urban	Public
2928	Njombe TC	Igominyi	Iwungilo	Ngalanga		Ngalanga	Dispensary	LGA	Urban	Public
2929	Njombe TC	Igominyi	Iwungilo	Uliwa		Uliwa	Health Centre	Roman Catholic	Urban	Faith-Based
2930	Njombe TC	Igominyi	Kifanya	Iboya		Iboya	Dispensary	LGA	Urban	Public
2931	Njombe TC	Igominyi	Kifanya	Ihanga		Ihanga	Health Centre	Roman Catholic	Urban	Faith-Based
2932	Njombe TC	Igominyi	Kifanya	Itipula		Itipula	Dispensary		Urban	TBD
2933	Njombe TC	Igominyi	Kifanya	Kifanya		Kifanya	Dispensary	Roman Catholic	Urban	Faith-Based
2935	Njombe TC	Igominyi	Kifanya	Lwangu		Lwangu	Dispensary	LGA	Urban	Public
2937	Njombe TC	Igominyi	Kifanya	Mikongo		Mikongo	Dispensary	LGA	Urban	Public
2939	Njombe TC	Igominyi	Kifanya	Utengule		Utengule	Dispensary	LGA	Urban	Public
2940	Njombe TC	Igominyi	Luponde	Igola		Igola	Dispensary	LGA	Urban	Public
2941	Njombe TC	Igominyi	Luponde	Lugenge		Lugenge	Dispensary	Roman Catholic	Urban	Faith-Based
2942	Njombe TC	Igominyi	Luponde	Luponde		Luponde	Dispensary	Parastatal	Urban	Public
2943	Njombe TC	Igominyi	Luponde	Lusitu		Lusitu	Dispensary	LGA	Urban	Public
2945	Njombe TC	Igominyi	Luponde	Miva		Miva	Dispensary	LGA	Urban	Public
2946	Njombe TC	Igominyi	Matola	Boimanda		Boimanda	Dispensary	LGA	Urban	Public
2947	Njombe TC	Igominyi	Matola	Idihani		Idihani	Dispensary	LGA	Urban	Public
2948	Njombe TC	Igominyi	Matola	Makowo		Makowo	Dispensary	LGA	Urban	Public
2949	Njombe TC	Igominyi	Matola	Mamongolo		Mamongolo	Dispensary	LGA	Urban	Public
2950	Njombe TC	Igominyi	Matola	Kitulila		Imiliwaha	Health Centre	Roman Catholic	Urban	Faith-Based
2951	Njombe TC	Igominyi	Matola	Kitulila		Kitulila	Dispensary		Urban	TBD
2952	Njombe TC	Igominyi	Matola	Matola		Matola	Dispensary	LGA	Urban	Public
2953	Njombe TC	Igominyi	Matola	Mbega		Mbega	Dispensary	LGA	Urban	Public
2954	Njombe TC	Igominyi	Matola	Mtila		Mtila	Dispensary	LGA	Urban	Public
2956	Njombe TC	Igominyi	Uwemba	Ihalula		Ihalula	Dispensary	LGA	Urban	Public
2957	Njombe TC	Igominyi	Uwemba	Magoda		Magoda	Dispensary	LGA	Urban	Public
2959	Njombe TC	Igominyi	Uwemba	Mkanjaula		Makanjaula	Dispensary	LGA	Urban	Public
2960	Njombe TC	Igominyi	Uwemba	Njomlole		Njomlole	Dispensary	LGA	Urban	Public
2961	Njombe TC	Igominyi	Uwemba	Utalingolo		Utalingolo	Dispensary	LGA	Urban	Public
2962	Njombe TC	Igominyi	Uwemba	Kisilo		Kisilo	Dispensary	LGA	Urban	Public
2964	Njombe TC	Igominyi	Uwemba	Uwemba		Uwemba	Health Centre	Roman Catholic	Urban	Faith-Based
2965	Njombe TC	Igominyi	Yakobi	Idunda		Idunda	Dispensary	LGA	Urban	Public
2966	Njombe TC	Igominyi	Yakobi	Limage		Limage	Dispensary	LGA	Urban	Public
2967	Njombe TC	Igominyi	Yakobi	Nundu		Nundu	Dispensary	LGA	Urban	Public
2968	Njombe TC	Igominyi	Yakobi	Igominyi		Igominyi	Dispensary	LGA	Urban	Public
2969	Njombe TC	Igominyi	Yakobi	Yakobi		Yakobi	Dispensary	LGA	Urban	Public
2970	Njombe TC	Njombe Mjini	Njombe Mjini	Idundilanga		Idundilanga	Dispensary	LGA	Urban	Public
2971	Njombe TC	Njombe Mjini	Njombe Mjini	Kibena		Njombe	Hospital	LGA	Urban	Public
2972	Njombe TC	Njombe Mjini	Njombe Mjini	Kibena		Tanwat	Hospital	Parastatal	Urban	Public
2974	Njombe TC	Njombe Mjini	Njombe Mjini	Mji Mwema		Mjimwema	Dispensary	LGA	Urban	Public
2975	Njombe TC	Njombe Mjini	Njombe Mjini	Njombe Mjini		Njombe	Health Centre	LGA	Urban	Public
2976	Njombe TC	Njombe Mjini	Njombe Mjini	Njombe Mjini		Itulike	Dispensary	LGA	Urban	Public
2977	Njombe TC	Njombe Mjini	Njombe Mjini	Njombe Mjini		Njombe Mjini	Dispensary	Prisons	Urban	Public
2978	Njombe TC	Njombe Mjini	Njombe Mjini	Njombe Mjini		Njombe Mjini	Dispensary	Seventh Day Adventists	Urban	Faith-Based
2979	Njombe TC	Njombe Mjini	Njombe Mjini	Njombe Mjini		Tumaini	Dispensary	Private	Urban	Private
2980	Njombe TC	Njombe Mjini	Njombe Mjini	Njombe Mjini		Anglican	Health Centre	Anglican	Urban	Faith-Based
2984	Njombe TC	Njombe Mjini	Njombe Mjini	Wikichi		Wikichi	Dispensary	LGA	Urban	Public
2985	Njombe TC	Njombe Mjini	Njombe Mjini	Nzengelendete		Nzengelendete	Dispensary	LGA	Urban	Public
3003	Njombe TC	Njombe Mjini	Njombe Mjini	Mpeto		Mpeto	Dispensary	LGA	Urban	Public
3004	Iringa MC	Iringa Mjini	Gangilonga	Kilimani		Iringa	Hospital	LGA	Urban	Public
3005	Iringa MC	Iringa Mjini	Gangilonga	Ffu		FFU Police	Dispensary	Police	Urban	Public
3006	Iringa MC	Iringa Mjini	Gangilonga	Gangilonga		Imecc	Hospital	Private	Urban	Private
3007	Iringa MC	Iringa Mjini	Gangilonga	Gangilonga		Al-Amar	Dispensary	BAKWATA	Urban	Private
3008	Iringa MC	Iringa Mjini	Gangilonga	Kichangani		Kleruu	Dispensary	Parastatal	Urban	Public
3009	Iringa MC	Iringa Mjini	Gangilonga	Kilimani		Kilimani	Dispensary	Prisons	Urban	Public
3010	Iringa MC	Iringa Mjini	Gangilonga	Lugalo A		Lugalo	Dispensary	Parastatal	Urban	Public
3011	Iringa MC	Iringa Mjini	Gangilonga	Lugalo B		Kims	Dispensary	Private	Urban	Private
3012	Iringa MC	Iringa Mjini	Gangilonga	Gangilonga		Alamano	Dispensary	Private	Urban	Private
3013	Iringa MC	Iringa Mjini	Gangilonga	Gangilonga		Cesa	Dispensary	Private	Urban	Private
3024	Iringa MC	Iringa Mjini	Kihesa	Sentema		Ngome	Health Centre	LGA	Urban	Public
3028	Iringa MC	Iringa Mjini	Kitanzini	Jamati		Aghakhan	Health Centre	Religious	Urban	Faith-Based
3031	Iringa MC	Iringa Mjini	Kitanzini	Miyomboni A		Makosa	Dispensary	Private	Urban	Private
3032	Iringa MC	Iringa Mjini	Kitanzini	Miyomboni B		Pisalala	Dispensary	Private	Urban	Private
3035	Iringa MC	Iringa Mjini	Kitanzini	Stendi		Staff Inn	Dispensary	Private	Urban	Private
3041	Iringa MC	Iringa Mjini	Kitwiru	Kitwiru		Kitwiru	Dispensary	LGA	Urban	Public
3060	Iringa MC	Iringa Mjini	Kwakilosa	Samora		Samora	Dispensary	Private	Urban	Private
3069	Iringa MC	Iringa Mjini	Makorongoni	Tandamti		Family Health Care	Dispensary	Private	Urban	Private
3076	Iringa MC	Iringa Mjini	Mivinjeni	Kanisani		Mshindo	Dispensary	Roman Catholic	Urban	Faith-Based
3083	Iringa MC	Iringa Mjini	Mkwawa	Itamba		Itamba	Dispensary		Urban	TBD
3084	Iringa MC	Iringa Mjini	Mkwawa	Lukosi				LGA	Urban	Public
3085	Iringa MC	Iringa Mjini	Mkwawa	Mkwawa/Imalanungwa		Mkwawa	Health Centre	Parastatal	Urban	Public
3088	Iringa MC	Iringa Mjini	Mlandege	Kota / Kalenga Road		Uhuru	Dispensary	Private	Urban	Private
3108	Iringa MC	Iringa Mjini	Mtwivila	Mkimbizi D		Mkimbizi	Dispensary	Private	Urban	Private
3116	Iringa MC	Iringa Mjini	Mwangata	Isakalilo		Njiapanda	Dispensary	LGA	Urban	Public
3124	Iringa MC	Iringa Mjini	Mwangata	Muungano		Municipal	Hospital	LGA	Urban	Public
3125	Iringa MC	Iringa Mjini	Mwangata	Mwangata A		Marie Stopies	Dispensary	Religious	Urban	Faith-Based
3131	Iringa MC	Iringa Mjini	Ruaha	Igumbiro		Igumbiro	Dispensary	LGA	Urban	Public
3134	Iringa MC	Iringa Mjini	Ruaha	Ipogolo D		Ipogolo	Health Centre	LGA	Urban	Public
3142	Iringa MC	Iringa Mjini	Ruaha	Kinegamgosi A		Ipogolo	Dispensary	Roman Catholic	Urban	Faith-Based
3146	Ileje DC	Bulambya	Itumba	Itumba		Ileje Day	Dispensary	LGA	Rural	Public
3147	Ileje DC	Bulambya	Itumba	Itumba		Itumba	Dispensary	Prisons	Rural	Public
3148	Ileje DC	Bulambya	Itumba	Mlale		Mlale	Dispensary	LGA	Rural	Public
3151	Ileje DC	Bulambya	Isongole	Isongole		Isongole	Dispensary	LGA	Rural	Public
3154	Ileje DC	Bulambya	Chitete	Msia		Msia	Dispensary	LGA	Rural	Public
3156	Ileje DC	Bulambya	Chitete	Ikumbilo		Ikumbilo	Dispensary		Rural	TBD
3158	Ileje DC	Bulambya	Mbebe	Mbebe		Mbebe	Dispensary	LGA	Rural	Public
3159	Ileje DC	Bulambya	Mbebe	Shinji		Shinji	Dispensary	LGA	Rural	Public
3162	Ileje DC	Bulambya	Bupigu	Bupigu		Bupigu	Dispensary	LGA	Rural	Public
3163	Ileje DC	Bulambya	Bupigu	Chabu		Chabu	Dispensary	TASAF	Rural	Public
3167	Ileje DC	Bulambya	Ngulilo	Ngulilo		Ngulilo	Dispensary	LGA	Rural	Public
3170	Ileje DC	Bulambya	Ibaba	Ibaba		Ibaba	Health Centre	LGA	Rural	Public
3175	Ileje DC	Bulambya	Malangali	Bulanga		Bulanga	Dispensary	Religious	Rural	Faith-Based
3176	Ileje DC	Bulambya	Malangali	Kalembo		Kalembo	Dispensary	Religious	Rural	Faith-Based
3177	Ileje DC	Bulambya	Malangali	Malangali		Malangali	Dispensary	LGA	Rural	Public
3181	Ileje DC	Bulambya	Itale	Iwala		Itale	Dispensary	LGA	Rural	Public
3185	Ileje DC	Bulambya	Kafule	Kapelekesi		Kapelekesi	Dispensary	LGA	Rural	Public
3186	Ileje DC	Bulambya	Kafule	Isoko		Isoko	Hospital	Religious	Rural	Faith-Based
3189	Ileje DC	Bulambya	Ikinga	Bwipa		Bwipa	Dispensary	Religious	Rural	Faith-Based
3190	Ileje DC	Bulambya	Ikinga	Kapeta		Kapeta	Dispensary	LGA	Rural	Public
3195	Ileje DC	Bulambya	Ndola	Ishenta		Ishenta	Dispensary	LGA	Rural	Public
3199	Ileje DC	Bundali	Sange	Sange		Sange	Dispensary	LGA	Rural	Public
3202	Ileje DC	Bundali	Ngulugulu	Chikumbulu		Chikumbulu	Dispensary	Religious	Rural	Faith-Based
3203	Ileje DC	Bundali	Ngulugulu	Ngulugulu		Ngulugulu	Dispensary	LGA	Rural	Public
3206	Ileje DC	Bundali	Luswisi	Luswisi		Luswisi	Dispensary	LGA	Rural	Public
3210	Ileje DC	Bundali	Lubanda	Mutula		Lubanda	Dispensary	LGA	Rural	Public
3213	Ileje DC	Bundali	Lubanda	Chilemba		Chilemba	Dispensary	LGA	Rural	Public
3214	Chunya DC	Kwimba	Gua	Gua		Gua	Dispensary	LGA	Rural	Public
3216	Chunya DC	Kwimba	Ngwala	Ngwala		Ngwala	Dispensary	LGA	Rural	Public
3217	Chunya DC	Kwimba	Ngwala	Ngwala		Ngwala	Health Centre	LGA	Rural	Public
3218	Chunya DC	Kwimba	Ngwala	Ngwala		Ngwala	Dispensary	Prisons	Rural	Public
3219	Chunya DC	Kwimba	Mbagala	Mbagala		Mbagala	Dispensary	LGA	Rural	Public
3221	Chunya DC	Kwimba	Kapalala	Kapalala		Kapalala	Dispensary	LGA	Rural	Public
3222	Chunya DC	Kwimba	Kapalala	Udinde		Udinde	Dispensary	LGA	Rural	Public
3224	Chunya DC	Kwimba	Mkwajuni	Saza		Saza	Dispensary	LGA	Rural	Public
3225	Chunya DC	Kwimba	Mkwajuni	Mkwajuni		Mwambani	Hospital	Roman Catholic	Rural	Faith-Based
3228	Chunya DC	Kwimba	Mkwajuni	Mbala		Mbala	Dispensary	LGA	Rural	Public
3230	Chunya DC	Kipembawe	Mtanila	Mtanila		Mtanila	Health Centre	LGA	Rural	Public
3234	Chunya DC	Kipembawe	Matwiga	Matwiga		Matwiga	Dispensary	LGA	Rural	Public
3237	Chunya DC	Kipembawe	Lupatingatinga	Nkung'ungu		Nkung'ungu	Dispensary	LGA	Rural	Public
3238	Chunya DC	Kipembawe	Lupatingatinga	Lupatingatinga		Lupatingatinga	Health Centre	LGA	Rural	Public
3239	Chunya DC	Kipembawe	Lupatingatinga	Lupatingatinga		Lupatingatinga	Dispensary	LGA	Rural	Public
3240	Chunya DC	Kipembawe	Lupatingatinga	Lupatingatinga		St Vicent	Dispensary	Roman Catholic	Rural	Faith-Based
3241	Chunya DC	Kipembawe	Mamba	Mamba		Mamba	Dispensary	LGA	Rural	Public
3242	Chunya DC	Kipembawe	Mamba	Upendo		Upendo	Dispensary	LGA	Rural	Public
